rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
-0.7396 0.1019 0.6591 0.0903 0.7585 -0.0718 -0.6398 0.1007 0.7466 -0.0353 -0.644 -0.163 -0.7867 -0.1984 0.5798 -0.0743 -0.7418 0.2358 0.6175 0.1135 0.7377 0.3707 -0.5602 -0.0682 0.8167 -0.113 0.5636 -0.0525 0.6774 -0.0214 -0.7351 0.0145 -0.631 -0.3407 0.5772 -0.3907 0.8986 0.2217 0.3254 -0.1935
-0.7396 0.1019 0.6591 0.0903 0.7585 -0.0718 -0.6398 0.1007 0.7466 -0.0353 -0.644 -0.163 -0.7867 -0.1984 0.5798 -0.0743 -0.7418 0.2358 0.6175 0.1135 0.7377 0.3707 -0.5602 -0.0682 0.8167 -0.113 0.5636 -0.0525 0.6774 -0.0214 -0.7351 0.0145 -0.631 -0.3407 0.5772 -0.3907 0.8986 0.2217 0.3254 -0.1935
-0.7396 0.1019 0.6591 0.0903 0.7585 -0.0718 -0.6398 0.1007 0.7466 -0.0353 -0.644 -0.163 -0.7867 -0.1984 0.5798 -0.0743 -0.7418 0.2358 0.6175 0.1135 0.7377 0.3707 -0.5602 -0.0682 0.8167 -0.113 0.5636 -0.0525 0.6774 -0.0214 -0.7351 0.0145 -0.631 -0.3407 0.5772 -0.3907 0.8986 0.2217 0.3254 -0.1935
-0.7396 0.1019 0.6591 0.0903 0.7585 -0.0718 -0.6398 0.1007 0.7466 -0.0353 -0.644 -0.163 -0.7845 -0.168 0.591 -0.0842 -0.7418 0.2358 0.6175 0.1135 0.7377 0.3707 -0.5602 -0.0682 0.8167 -0.113 0.5636 -0.0525 0.6774 -0.0214 -0.7351 0.0145 -0.631 -0.3407 0.5772 -0.3907 0.8986 0.2217 0.3254 -0.1935
-0.7396 0.1019 0.6591 0.0903 0.7585 -0.0718 -0.6398 0.1007 0.7466 -0.0353 -0.644 -0.163 -0.7845 -0.168 0.591 -0.0842 -0.7418 0.2358 0.6175 0.1135 0.7377 0.3707 -0.5602 -0.0682 0.8167 -0.113 0.5636 -0.0525 0.6774 -0.0214 -0.7351 0.0145 -0.631 -0.3407 0.5772 -0.3907 0.8986 0.2217 0.3254 -0.1935
-0.7396 0.1019 0.6591 0.0903 0.7585 -0.0718 -0.6398 0.1007 0.7466 -0.0353 -0.644 -0.163 -0.7845 -0.168 0.591 -0.0842 -0.7729 0.2609 0.5756 0.056 0.7377 0.3707 -0.5602 -0.0682 0.8167 -0.113 0.5636 -0.0525 0.6678 -0.0338 -0.7426 0.0385 -0.595 -0.3301 0.6026 -0.417 0.8936 0.2257 0.3356 -0.1946
-0.7396 0.1019 0.6591 0.0903 0.7585 -0.0718 -0.6398 0.1007 0.7466 -0.0353 -0.644 -0.163 -0.7845 -0.168 0.591 -0.0842 -0.7729 0.2609 0.5756 0.056 0.7377 0.3707 -0.5602 -0.0682 0.8167 -0.113 0.5636 -0.0525 0.6678 -0.0338 -0.7426 0.0385 -0.595 -0.3301 0.6026 -0.417 0.8936 0.2257 0.3356 -0.1946
-0.7459 0.1042 0.6483 0.1116 0.7678 -0.0773 -0.6313 0.0781 0.7387 -0.0472 -0.6539 -0.1567 -0.7845 -0.168 0.591 -0.0842 -0.7729 0.2609 0.5756 0.056 0.726 0.2762 -0.6292 0.0259 0.9123 -0.0991 0.3918 -0.0662 0.6678 -0.0338 -0.7426 0.0385 -0.595 -0.3301 0.6026 -0.417 0.8936 0.2257 0.3356 -0.1946
-0.7459 0.1042 0.6483 0.1116 0.7678 -0.0773 -0.6313 0.0781 0.7387 -0.0472 -0.6539 -0.1567 -0.7845 -0.168 0.591 -0.0842 -0.7729 0.2609 0.5756 0.056 0.726 0.2762 -0.6292 0.0259 0.9123 -0.0991 0.3918 -0.0662 0.6678 -0.0338 -0.7426 0.0385 -0.595 -0.3301 0.6026 -0.417 0.8936 0.2257 0.3356 -0.1946
-0.7459 0.1042 0.6483 0.1116 0.7678 -0.0773 -0.6313 0.0781 0.7387 -0.0472 -0.6539 -0.1567 -0.7845 -0.168 0.591 -0.0842 -0.7729 0.2609 0.5756 0.056 0.726 0.2762 -0.6292 0.0259 0.9123 -0.0991 0.3918 -0.0662 0.6678 -0.0338 -0.7426 0.0385 -0.595 -0.3301 0.6026 -0.417 0.8936 0.2257 0.3356 -0.1946
