rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.78 -0.0737 -0.621 -0.0228 0.5909 -0.4447 -0.6523 -0.1656 0.7672 -0.1895 -0.6063 -0.0892 0.7244 0.1312 -0.6768 0.0031 0.6118 0.2159 -0.7364 0.1917 0.7871 0.0569 -0.6135 0.0296 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.1894 -0.7234 -0.1157 0.6921 -0.2828 -0.6417 -0.1708 0.9427 -9.0E-4 0.3337 -0.0013
0.78 -0.0737 -0.621 -0.0228 0.5909 -0.4447 -0.6523 -0.1656 0.7662 -0.193 -0.6061 -0.0915 0.7244 0.1312 -0.6768 0.0031 0.612 0.2164 -0.7363 0.1913 0.7871 0.0578 -0.6134 0.0292 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.1894 -0.7234 -0.1157 0.6921 -0.2828 -0.6417 -0.1708 0.9427 -9.0E-4 0.3337 -0.0013
0.78 -0.0737 -0.621 -0.0228 0.5909 -0.4447 -0.6523 -0.1656 0.7662 -0.193 -0.6061 -0.0915 0.7244 0.1312 -0.6768 0.0031 0.612 0.2164 -0.7363 0.1913 0.7871 0.0578 -0.6134 0.0292 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.1894 -0.7234 -0.1157 0.6921 -0.2828 -0.6417 -0.1708 0.9427 -9.0E-4 0.3337 -0.0013
0.78 -0.0737 -0.621 -0.0228 0.5909 -0.4447 -0.6523 -0.1656 0.7662 -0.193 -0.6061 -0.0915 0.7244 0.1312 -0.6768 0.0031 0.612 0.2164 -0.7363 0.1913 0.7871 0.0578 -0.6134 0.0292 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.19 -0.7233 -0.1152 0.6921 -0.2828 -0.6417 -0.1708 0.9427 -9.0E-4 0.3337 -0.0013
0.78 -0.0737 -0.621 -0.0228 0.5909 -0.4447 -0.6523 -0.1656 0.7662 -0.193 -0.6061 -0.0915 0.7244 0.1312 -0.6768 0.0031 0.612 0.2164 -0.7363 0.1913 0.7871 0.0578 -0.6134 0.0292 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.19 -0.7233 -0.1152 0.6921 -0.2828 -0.6417 -0.1708 0.9427 -9.0E-4 0.3337 -0.0013
0.78 -0.0737 -0.621 -0.0228 0.5909 -0.4447 -0.6523 -0.1656 0.7662 -0.193 -0.6061 -0.0915 0.7244 0.1312 -0.6768 0.0031 0.612 0.2164 -0.7363 0.1913 0.7871 0.0578 -0.6134 0.0292 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.19 -0.7233 -0.1152 0.6921 -0.2828 -0.6417 -0.1708 0.9427 -9.0E-4 0.3337 -0.0013
0.78 -0.0737 -0.621 -0.0228 0.5909 -0.4447 -0.6523 -0.1656 0.7662 -0.193 -0.6061 -0.0915 0.7228 0.1316 -0.6784 0.0041 0.612 0.2164 -0.7363 0.1913 0.7871 0.0578 -0.6134 0.0292 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.19 -0.7233 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9428 -9.0E-4 0.3333 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5917 -0.4444 -0.6518 -0.166 0.7662 -0.193 -0.6061 -0.0915 0.7228 0.1316 -0.6784 0.0041 0.612 0.2164 -0.7363 0.1913 0.7871 0.0578 -0.6134 0.0292 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.19 -0.7233 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9428 -9.0E-4 0.3333 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5917 -0.4444 -0.6518 -0.166 0.7656 -0.1916 -0.6074 -0.09 0.7228 0.1316 -0.6784 0.0041 0.6121 0.2171 -0.736 0.1907 0.7868 0.0584 -0.6138 0.0284 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.19 -0.7233 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9428 -9.0E-4 0.3333 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5917 -0.4444 -0.6518 -0.166 0.7656 -0.1916 -0.6074 -0.09 0.7228 0.1316 -0.6784 0.0041 0.6121 0.2171 -0.736 0.1907 0.7868 0.0584 -0.6138 0.0284 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.19 -0.7233 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9428 -9.0E-4 0.3333 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5917 -0.4444 -0.6518 -0.166 0.7656 -0.1916 -0.6074 -0.09 0.7228 0.1316 -0.6784 0.0041 0.6121 0.2171 -0.736 0.1907 0.7868 0.0584 -0.6138 0.0284 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9428 -9.0E-4 0.3333 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5917 -0.4444 -0.6518 -0.166 0.7656 -0.1916 -0.6074 -0.09 0.7228 0.1316 -0.6784 0.0041 0.6121 0.2171 -0.736 0.1907 0.7868 0.0584 -0.6138 0.0284 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9428 -9.0E-4 0.3333 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5917 -0.4444 -0.6518 -0.166 0.7656 -0.1916 -0.6074 -0.09 0.7228 0.1316 -0.6784 0.0041 0.6121 0.2171 -0.736 0.1907 0.7868 0.0584 -0.6138 0.0284 0.9473 -0.0121 0.3203 2.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9428 -9.0E-4 0.3333 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5903 -0.444 -0.6525 -0.1692 0.7656 -0.1916 -0.6074 -0.09 0.7224 0.1307 -0.679 0.0067 0.6121 0.2171 -0.736 0.1907 0.7868 0.0584 -0.6138 0.0284 0.9474 -0.0119 0.3199 3.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6924 -0.2828 -0.6417 -0.1697 0.9432 -9.0E-4 0.3323 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5903 -0.444 -0.6525 -0.1692 0.7653 -0.1896 -0.609 -0.0866 0.7224 0.1307 -0.679 0.0067 0.6121 0.2171 -0.736 0.1907 0.7868 0.0584 -0.6138 0.0284 0.9474 -0.0119 0.3199 3.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6926 -0.283 -0.6419 -0.1679 0.9432 -9.0E-4 0.3323 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5903 -0.444 -0.6525 -0.1692 0.7653 -0.1896 -0.609 -0.0866 0.7224 0.1307 -0.679 0.0067 0.6121 0.2171 -0.736 0.1907 0.7853 0.06 -0.6155 0.0314 0.9474 -0.0119 0.3199 3.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6926 -0.283 -0.6419 -0.1679 0.9432 -9.0E-4 0.3323 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5903 -0.444 -0.6525 -0.1692 0.7653 -0.1896 -0.609 -0.0866 0.7224 0.1307 -0.679 0.0067 0.6122 0.2179 -0.7357 0.1908 0.7853 0.06 -0.6155 0.0314 0.9474 -0.0119 0.3199 3.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6926 -0.283 -0.6419 -0.1679 0.9432 -9.0E-4 0.3323 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5903 -0.444 -0.6525 -0.1692 0.7653 -0.1896 -0.609 -0.0866 0.7224 0.1307 -0.679 0.0067 0.6122 0.2179 -0.7357 0.1908 0.7853 0.06 -0.6155 0.0314 0.9474 -0.0119 0.3199 3.0E-4 0.6537 -0.1908 -0.7231 -0.1152 0.6926 -0.283 -0.6419 -0.1679 0.9432 -9.0E-4 0.3323 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5903 -0.4448 -0.6515 -0.1711 0.7653 -0.1896 -0.609 -0.0866 0.7224 0.1307 -0.679 0.0067 0.6122 0.2179 -0.7357 0.1908 0.7853 0.06 -0.6155 0.0314 0.9474 -0.0119 0.3199 3.0E-4 0.6534 -0.192 -0.7229 -0.1164 0.6926 -0.283 -0.6419 -0.1679 0.9432 -9.0E-4 0.3323 -0.0013
0.7795 -0.0738 -0.6216 -0.0237 0.5903 -0.4448 -0.6515 -0.1711 0.7653 -0.1896 -0.609 -0.0866 0.7224 0.1307 -0.679 0.0067 0.6122 0.2179 -0.7357 0.1908 0.7853 0.06 -0.6155 0.0314 0.9474 -0.0119 0.3199 3.0E-4 0.6534 -0.192 -0.7229 -0.1164 0.6926 -0.283 -0.6419 -0.1679 0.9432 -9.0E-4 0.3323 -0.0013
0.7784 -0.0749 -0.6227 -0.0283 0.5903 -0.4448 -0.6515 -0.1711 0.7653 -0.1896 -0.609 -0.0866 0.7233 0.1296 -0.6782 0.0107 0.6122 0.2179 -0.7357 0.1908 0.7853 0.06 -0.6155 0.0314 0.9477 -0.0109 0.319 9.0E-4 0.6534 -0.192 -0.7229 -0.1164 0.6916 -0.2846 -0.6426 -0.1664 0.9434 -7.0E-4 0.3317 -0.0012
0.7784 -0.0749 -0.6227 -0.0283 0.5903 -0.4448 -0.6515 -0.1711 0.7648 -0.1896 -0.6101 -0.0835 0.7233 0.1296 -0.6782 0.0107 0.6122 0.2179 -0.7357 0.1908 0.7853 0.06 -0.6155 0.0314 0.9477 -0.0109 0.319 9.0E-4 0.6534 -0.192 -0.7229 -0.1164 0.6916 -0.2846 -0.6426 -0.1664 0.9434 -7.0E-4 0.3317 -0.0012
0.7784 -0.0749 -0.6227 -0.0283 0.5903 -0.4448 -0.6515 -0.1711 0.7648 -0.1896 -0.6101 -0.0835 0.7233 0.1296 -0.6782 0.0107 0.6122 0.2179 -0.7357 0.1908 0.7853 0.06 -0.6155 0.0314 0.9477 -0.0109 0.319 9.0E-4 0.6534 -0.192 -0.7229 -0.1164 0.6916 -0.2846 -0.6426 -0.1664 0.9434 -7.0E-4 0.3317 -0.0012
0.7784 -0.0749 -0.6227 -0.0283 0.5903 -0.4448 -0.6515 -0.1711 0.7648 -0.1896 -0.6101 -0.0835 0.7233 0.1296 -0.6782 0.0107 0.6121 0.2187 -0.7335 0.1988 0.7858 0.069 -0.6136 0.0355 0.9477 -0.0109 0.319 9.0E-4 0.6534 -0.192 -0.7229 -0.1164 0.6916 -0.2846 -0.6426 -0.1664 0.9434 -7.0E-4 0.3317 -0.0012
