rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.7687 0.0273 -0.6385 0.0235 0.6731 -0.1272 -0.7144 0.1429 0.6972 0.0398 -0.7127 -0.0661 0.6436 0.2325 -0.7291 -0.0118 0.6216 -0.0033 -0.7833 -0.0064 0.7497 -0.0867 -0.6546 -0.0435 0.939 -0.2147 0.2679 -0.0235 0.6072 -0.2421 -0.7397 -0.1597 0.7293 -0.1616 -0.6303 -0.2115 0.9306 -0.0081 0.3657 -0.0143
0.7694 0.0285 -0.6378 0.0228 0.6731 -0.1272 -0.7144 0.1429 0.6972 0.0398 -0.7127 -0.0661 0.6407 0.2321 -0.7318 -0.0124 0.6194 -0.0032 -0.7851 -0.0021 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2684 -0.0236 0.6066 -0.2424 -0.7397 -0.1611 0.7293 -0.1616 -0.6303 -0.2115 0.9306 -0.0081 0.3657 -0.0143
0.7694 0.0285 -0.6378 0.0228 0.6731 -0.1272 -0.7144 0.1429 0.6959 0.0394 -0.714 -0.066 0.6407 0.2321 -0.7318 -0.0124 0.6194 -0.0032 -0.7851 -0.0021 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2684 -0.0236 0.6066 -0.2424 -0.7397 -0.1611 0.7293 -0.1616 -0.6303 -0.2115 0.9306 -0.0081 0.3657 -0.0143
0.7694 0.0285 -0.6378 0.0228 0.6731 -0.1272 -0.7144 0.1429 0.6959 0.0394 -0.714 -0.066 0.6407 0.2321 -0.7318 -0.0124 0.6194 -0.0032 -0.7851 -0.0021 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2684 -0.0236 0.6066 -0.2424 -0.7397 -0.1611 0.7287 -0.1613 -0.6307 -0.2126 0.9306 -0.0081 0.3657 -0.0143
0.7694 0.0285 -0.6378 0.0228 0.6735 -0.1267 -0.714 0.1434 0.6959 0.0394 -0.714 -0.066 0.6407 0.2321 -0.7318 -0.0124 0.6194 -0.0032 -0.7851 -0.0021 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2684 -0.0236 0.6066 -0.2424 -0.7397 -0.1611 0.7287 -0.1613 -0.6307 -0.2126 0.9306 -0.0081 0.3657 -0.0143
0.7694 0.0285 -0.6378 0.0228 0.6735 -0.1267 -0.714 0.1434 0.6959 0.0394 -0.714 -0.066 0.6407 0.2321 -0.7318 -0.0124 0.6194 -0.0032 -0.7851 -0.0021 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2684 -0.0236 0.6066 -0.2424 -0.7397 -0.1611 0.7287 -0.1613 -0.6307 -0.2126 0.9306 -0.0081 0.3657 -0.0143
0.7694 0.0285 -0.6378 0.0228 0.6735 -0.1267 -0.714 0.1434 0.6959 0.0394 -0.714 -0.066 0.6407 0.2321 -0.7318 -0.0124 0.6194 -0.0032 -0.7851 -0.0021 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2684 -0.0236 0.6066 -0.2424 -0.7397 -0.1611 0.7287 -0.1613 -0.6307 -0.2126 0.9306 -0.0081 0.3657 -0.0143
0.7694 0.0285 -0.6378 0.0228 0.6735 -0.1267 -0.714 0.1434 0.6959 0.0394 -0.714 -0.066 0.6407 0.2321 -0.7318 -0.0124 0.6194 -0.0032 -0.7851 -0.0021 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2684 -0.0236 0.6066 -0.2424 -0.7397 -0.1611 0.7287 -0.1613 -0.6307 -0.2126 0.9306 -0.0081 0.3657 -0.0143
0.7697 0.0284 -0.6374 0.0211 0.6735 -0.1267 -0.714 0.1434 0.6959 0.0394 -0.714 -0.066 0.6389 0.2303 -0.7339 -0.0115 0.6184 -0.0018 -0.7858 -0.0026 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2685 -0.0235 0.607 -0.244 -0.7396 -0.1579 0.7287 -0.1613 -0.6307 -0.2126 0.9306 -0.0081 0.3657 -0.0143
0.7697 0.0284 -0.6374 0.0211 0.6735 -0.1267 -0.714 0.1434 0.6947 0.0378 -0.7153 -0.0653 0.6389 0.2303 -0.7339 -0.0115 0.6184 -0.0018 -0.7858 -0.0026 0.7497 -0.0867 -0.6546 -0.0435 0.9387 -0.2148 0.2685 -0.0235 0.607 -0.244 -0.7396 -0.1579 0.7287 -0.1613 -0.6307 -0.2126 0.9306 -0.0081 0.3657 -0.0143
