rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7631 -0.1981 -0.6131 -0.0507 0.7973 0.1927 -0.5701 -0.047 0.662 0.0728 -0.7444 0.0471 0.7751 0.0931 -0.6245 0.0236 0.9381 -0.2348 0.2545 0.0064 0.6918 0.0075 -0.7191 0.0648 0.7424 0.113 -0.6591 0.0399 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7631 -0.1981 -0.6131 -0.0507 0.7973 0.1927 -0.5701 -0.047 0.662 0.0728 -0.7444 0.0471 0.7751 0.0931 -0.6245 0.0236 0.9381 -0.2348 0.2545 0.0064 0.6924 -0.0018 -0.7193 0.0555 0.7424 0.113 -0.6591 0.0399 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7631 -0.1981 -0.6131 -0.0507 0.7935 0.1808 -0.5787 -0.0524 0.6652 0.0579 -0.7438 0.0323 0.7751 0.0931 -0.6245 0.0236 0.9381 -0.2348 0.2545 0.0064 0.6924 -0.0018 -0.7193 0.0555 0.7424 0.113 -0.6591 0.0399 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7631 -0.1981 -0.6131 -0.0507 0.7935 0.1808 -0.5787 -0.0524 0.6652 0.0579 -0.7438 0.0323 0.7751 0.0931 -0.6245 0.0236 0.9381 -0.2348 0.2545 0.0064 0.6924 -0.0018 -0.7193 0.0555 0.7424 0.113 -0.6591 0.0399 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7545 -0.2238 -0.6126 -0.0733 0.7935 0.1808 -0.5787 -0.0524 0.6652 0.0579 -0.7438 0.0323 0.7746 0.0867 -0.6262 0.0194 0.9381 -0.2347 0.2545 0.0065 0.6924 -0.0018 -0.7193 0.0555 0.7444 0.1059 -0.6583 0.0364 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7545 -0.2238 -0.6126 -0.0733 0.7935 0.1808 -0.5787 -0.0524 0.6652 0.0579 -0.7438 0.0323 0.7746 0.0867 -0.6262 0.0194 0.9381 -0.2347 0.2545 0.0065 0.6924 -0.0018 -0.7193 0.0555 0.7444 0.1059 -0.6583 0.0364 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7545 -0.2238 -0.6126 -0.0733 0.7935 0.1808 -0.5787 -0.0524 0.6652 0.0579 -0.7438 0.0323 0.7746 0.0867 -0.6262 0.0194 0.9381 -0.2347 0.2545 0.0065 0.6924 -0.0018 -0.7193 0.0555 0.7444 0.1059 -0.6583 0.0364 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7545 -0.2238 -0.6126 -0.0733 0.7935 0.1808 -0.5787 -0.0524 0.6652 0.0579 -0.7438 0.0323 0.7746 0.0867 -0.6262 0.0194 0.9381 -0.2347 0.2545 0.0065 0.6924 -0.0018 -0.7193 0.0555 0.7444 0.1059 -0.6583 0.0364 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7545 -0.2238 -0.6126 -0.0733 0.7935 0.1808 -0.5787 -0.0524 0.6652 0.0579 -0.7438 0.0323 0.7746 0.0867 -0.6262 0.0194 0.9381 -0.2347 0.2545 0.0065 0.6924 -0.0018 -0.7193 0.0555 0.7444 0.1059 -0.6583 0.0364 0.9286 0.2267 0.2928 -0.0256
0.77 0.0076 -0.6323 0.0852 0.6684 -0.3014 -0.6769 0.0646 0.7545 -0.2238 -0.6126 -0.0733 0.7921 0.1419 -0.5865 -0.0919 0.6671 0.0341 -0.744 0.013 0.7746 0.0867 -0.6262 0.0194 0.9381 -0.2347 0.2545 0.0065 0.6924 -0.0245 -0.72 0.04 0.7444 0.1059 -0.6583 0.0364 0.9293 0.2248 0.2917 -0.0256
