rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.74 0.0312 -0.6672 0.0797 0.6177 -0.1484 -0.7715 0.0331 0.7361 0.0656 -0.6652 -0.1066 0.7524 0.1448 -0.6355 -0.0952 0.6749 -0.2086 -0.7037 -0.0756 0.7614 0.2017 -0.6152 -0.0345 0.9346 0.1865 0.2991 -0.049 0.691 -0.1221 -0.7062 -0.0938 0.7321 -0.0407 -0.6784 -0.0471 0.9377 -0.1817 0.2948 0.028
0.74 0.0312 -0.6672 0.0797 0.6177 -0.1484 -0.7715 0.0331 0.7361 0.0656 -0.6652 -0.1066 0.755 0.125 -0.6396 -0.0726 0.6749 -0.2086 -0.7037 -0.0756 0.7614 0.2017 -0.6152 -0.0345 0.9346 0.1865 0.2991 -0.049 0.691 -0.1221 -0.7062 -0.0938 0.7321 -0.0407 -0.6784 -0.0471 0.9376 -0.1828 0.2944 0.0275
0.74 0.0312 -0.6672 0.0797 0.6177 -0.1484 -0.7715 0.0331 0.7361 0.0656 -0.6652 -0.1066 0.755 0.125 -0.6396 -0.0726 0.6749 -0.2086 -0.7037 -0.0756 0.7595 0.21 -0.6151 -0.0292 0.9346 0.1865 0.2991 -0.049 0.691 -0.1221 -0.7062 -0.0938 0.7321 -0.0407 -0.6784 -0.0471 0.9376 -0.1828 0.2944 0.0275
0.74 0.0312 -0.6672 0.0797 0.6177 -0.1484 -0.7715 0.0331 0.7361 0.0656 -0.6652 -0.1066 0.755 0.125 -0.6396 -0.0726 0.6762 -0.2051 -0.7034 -0.0766 0.7595 0.21 -0.6151 -0.0292 0.9346 0.1865 0.2991 -0.049 0.691 -0.1221 -0.7062 -0.0938 0.7321 -0.0407 -0.6784 -0.0471 0.9376 -0.1828 0.2944 0.0275
0.74 0.0312 -0.6672 0.0797 0.6177 -0.1484 -0.7715 0.0331 0.7361 0.0656 -0.6652 -0.1066 0.755 0.125 -0.6396 -0.0726 0.6762 -0.2051 -0.7034 -0.0766 0.7595 0.21 -0.6151 -0.0292 0.9346 0.1865 0.2991 -0.049 0.6852 -0.1321 -0.7062 -0.1198 0.7321 -0.0407 -0.6784 -0.0471 0.9376 -0.1828 0.2944 0.0275
0.74 0.0312 -0.6672 0.0797 0.6177 -0.1484 -0.7715 0.0331 0.7361 0.0656 -0.6652 -0.1066 0.755 0.125 -0.6396 -0.0726 0.6762 -0.2051 -0.7034 -0.0766 0.7595 0.21 -0.6151 -0.0292 0.9346 0.1865 0.2991 -0.049 0.6852 -0.1321 -0.7062 -0.1198 0.7321 -0.0407 -0.6784 -0.0471 0.9376 -0.1828 0.2944 0.0275
0.7475 0.0287 -0.66 0.0702 0.6226 -0.1423 -0.7687 0.0349 0.7426 0.0781 -0.661 -0.075 0.755 0.125 -0.6396 -0.0726 0.6762 -0.2051 -0.7034 -0.0766 0.7595 0.21 -0.6151 -0.0292 0.9338 0.1898 0.2996 -0.0456 0.6852 -0.1321 -0.7062 -0.1198 0.7264 -0.0624 -0.6825 -0.0504 0.9376 -0.1828 0.2944 0.0275
0.7475 0.0287 -0.66 0.0702 0.6226 -0.1423 -0.7687 0.0349 0.7426 0.0781 -0.661 -0.075 0.755 0.125 -0.6396 -0.0726 0.6762 -0.2051 -0.7034 -0.0766 0.7595 0.21 -0.6151 -0.0292 0.9338 0.1898 0.2996 -0.0456 0.6852 -0.1321 -0.7062 -0.1198 0.7264 -0.0624 -0.6825 -0.0504 0.9376 -0.1828 0.2944 0.0275
0.7475 0.0287 -0.66 0.0702 0.6226 -0.1423 -0.7687 0.0349 0.7426 0.0781 -0.661 -0.075 0.7507 0.1449 -0.6425 -0.0524 0.6762 -0.2051 -0.7034 -0.0766 0.7595 0.21 -0.6151 -0.0292 0.9338 0.1898 0.2996 -0.0456 0.6852 -0.1321 -0.7062 -0.1198 0.7264 -0.0624 -0.6825 -0.0504 0.9374 -0.1842 0.2943 0.028
0.7475 0.0287 -0.66 0.0702 0.6226 -0.1423 -0.7687 0.0349 0.7426 0.0781 -0.661 -0.075 0.7507 0.1449 -0.6425 -0.0524 0.6762 -0.2051 -0.7034 -0.0766 0.7643 0.21 -0.6083 -0.0404 0.9338 0.1898 0.2996 -0.0456 0.6852 -0.1321 -0.7062 -0.1198 0.7264 -0.0624 -0.6825 -0.0504 0.9374 -0.1842 0.2943 0.028
